building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Hospital wards,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708648561/attachments/att2KGCPB7S9TSgGTbMKNu6d/,,-0.001334 34.609955 1549 70.10600280761719,-0.001334,34.609955,1549,55,c3520be3-53de-42da-9e97-f775699fc531,uuid:c3520be3-53de-42da-9e97-f775699fc531
Aids control unit,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708651601/attachments/attFbxPbVnij59Ln7gDEfpUZ/,,-0.001269 34.610593 1543.699951171875 23.82699966430664,-0.001269,34.610593,1543.699951,56,483fc0cf-999f-4d89-ba09-e5697965b283,uuid:483fc0cf-999f-4d89-ba09-e5697965b283
Washroom,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708863336/attachments/attQVvBiVFHxzg59aoBr8D6S/,,-0.007222 34.598063 1510 55.37799835205078,-0.007222,34.598063,1510,283,527e6e17-787b-41da-8674-f831cc335140,uuid:527e6e17-787b-41da-8674-f831cc335140
Baby care,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708865882/attachments/attYdtuwGxMHmjmUZ5PBS2JY/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708865882/attachments/attrR9qqzZsaFYGAjTJRjmSE/,-0.007994 34.598169 1506.199951171875 23.499000549316406,-0.007994,34.598169,1506.199951,77,2043bf80-735c-4ad6-ab81-360639cc4e7a,uuid:2043bf80-735c-4ad6-ab81-360639cc4e7a
Tennis court,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708867244/attachments/attQvG5WZ8wsgsA8W5Cnyfif/,,-0.007231 34.598241 1510 41.05699920654297,-0.007231,34.598241,1510,151,f3ff72f5-3181-4308-942a-6cd435e82923,uuid:f3ff72f5-3181-4308-942a-6cd435e82923
Finance office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708869166/attachments/attsbwYNLam7ojCTTQNWWt5T/,,-0.007593 34.597365 1505.5999755859375 28.503999710083008,-0.007593,34.597365,1505.599976,82,9c9bce29-250e-4ed9-afe1-3f09e99d45a0,uuid:9c9bce29-250e-4ed9-afe1-3f09e99d45a0
Workers' cafeteria,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708872380/attachments/att2uWtqbUD9WxKX56cFuoDG/,,-0.007605 34.597355 1505.699951171875 8.949999809265137,-0.007605,34.597355,1505.699951,84,61663e2c-1914-4d1b-a416-523506cb0563,uuid:61663e2c-1914-4d1b-a416-523506cb0563
Nzoia hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708876693/attachments/attaQECafuuaCKwSPtPpbxA2/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708876693/attachments/attKi5UuUTSppyekb6jSNata/,-0.00861 34.597357 1503.5 26.399999618530273,-0.00861,34.597357,1503.5,76,44b24191-fd0c-4486-a4c0-9b60d3e5bc3b,uuid:44b24191-fd0c-4486-a4c0-9b60d3e5bc3b
Directorate of linkages outreach and consultancies and institute for gender studies,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708879690/attachments/attXdyEV6cmV9NhMbgtVWAZG/,,-0.007874 34.597129 1505.9000244140625 64.0999984741211,-0.007874,34.597129,1505.900024,81,257bd02f-1980-4d3d-af12-41e38935cf83,uuid:257bd02f-1980-4d3d-af12-41e38935cf83
Directorate of research and innovation,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708881660/attachments/attqJhYwUYgvd2jPMiwtMJaf/,,-0.008341 34.596472 1505.5999755859375 116.0999984741211,-0.008341,34.596472,1505.599976,75,5d19777a-f635-4878-b51e-3e617ff27b30,uuid:5d19777a-f635-4878-b51e-3e617ff27b30
