building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Entertainment area,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708931282/attachments/att2HKmkXnUNahHeJVu8un3Y/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708931282/attachments/attxSoV3HYtnNV7w68vhcAJP/,-0.008084 34.593386 1509.199951171875 23.600000381469727,-0.008084,34.593386,1509.199951,309,0d8c699d-596b-4f94-864c-ae5a0b407d26,uuid:0d8c699d-596b-4f94-864c-ae5a0b407d26
Victoria J hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708932833/attachments/att5n5h5ez9H5GZja5vQPDVw/,,-0.008418 34.593796 1510.199951171875 44.09600067138672,-0.008418,34.593796,1510.199951,310,b6894b2c-930f-49c6-b18e-980ab08832bd,uuid:b6894b2c-930f-49c6-b18e-980ab08832bd
Communication booster,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708933615/attachments/attNR8sXB3gg5kzhhWErn9Ti/,,-0.007914 34.593439 1508.300048828125 21.575000762939453,-0.007914,34.593439,1508.300049,311,423660d8-6ec8-42b2-989f-da2a9f391943,uuid:423660d8-6ec8-42b2-989f-da2a9f391943
Yala A and B hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708935425/attachments/attL79qRmSHy3DBLQiPka3tc/,,-0.007333 34.593701 1508.300048828125 42.5,-0.007333,34.593701,1508.300049,312,429f7d1b-9061-4622-9a4c-070b3ea13ad8,uuid:429f7d1b-9061-4622-9a4c-070b3ea13ad8
Temporal structure,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709253276/attachments/attXGCJHB2LaACiYkXXsfzWN/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709253276/attachments/att9YA8T66GBwSQTMi9bSFtN/,-0.00772 34.594338 1491.3 15.048999786376953,-0.00772,34.594338,1491.3,315,831c3be2-8d1d-4749-99a1-9e78b93d6a5a,uuid:831c3be2-8d1d-4749-99a1-9e78b93d6a5a
NDERE 7,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709254129/attachments/attaCvBTyby3NivC4BPQ3gCx/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709254129/attachments/attrokmeiFFvvmMeHbNWmGwD/,-0.007331 34.594531 1491.5 4.199999809265137,-0.007331,34.594531,1491.5,316,c7b6b203-d8cd-48c0-9af6-b727823f297a,uuid:c7b6b203-d8cd-48c0-9af6-b727823f297a
WASHROOM,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709255385/attachments/attj4TqhUFpvC7gu9xQwVFxk/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709255385/attachments/attGkD5M7RBVmnPt3pq5ptqB/,-0.00725 34.594812 1492.4 5.495999813079834,-0.00725,34.594812,1492.4,319,95f054c2-5258-4e37-ac70-7e283326e18c,uuid:95f054c2-5258-4e37-ac70-7e283326e18c
NDERE 10,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709256206/attachments/attzCzr7tpAbXdZkHBeCgsTb/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709256206/attachments/attbFFonNZExtFWXp3VZPNnM/,-0.007237 34.595199 1492.6000000000001 6.099999904632568,-0.007237,34.595199,1492.6,320,5d71a24a-242a-47ad-9162-af1d273ebfb7,uuid:5d71a24a-242a-47ad-9162-af1d273ebfb7
DEPARTMENT OF TRANSPORT OFFICES,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709256780/attachments/attKyrAnYM284uDbv8KQdhCd/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709256780/attachments/attJdbqKggb9VLJPBz5nbD8j/,-0.00719 34.595335 1492.7 13.38599967956543,-0.00719,34.595335,1492.7,321,e7c5f209-5b4a-4279-9181-3b87d00f31c8,uuid:e7c5f209-5b4a-4279-9181-3b87d00f31c8
NDERE 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709257251/attachments/attvD9EazrQGPbqDeXce8bKw/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709257251/attachments/attzdv5tZD75KzD4QojSdN6v/,-0.006939 34.59531 1492.9 6.525000095367432,-0.006939,34.59531,1492.9,322,44491cc3-0652-402b-8a5f-12687b04ba94,uuid:44491cc3-0652-402b-8a5f-12687b04ba94
NDERE 2,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709257738/attachments/attCsTY9MXYnDUq7zM3JNsjq/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709257738/attachments/atteqQvYspPs5NorHvCUJVjW/,-0.006838 34.595575 1492.9 100,-0.006838,34.595575,1492.9,323,b10582f3-16b6-4372-8af4-bbee3c75ef1c,uuid:b10582f3-16b6-4372-8af4-bbee3c75ef1c
RUSINGA 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709258369/attachments/attLUNMA9d6bCzCzrd2vNmmC/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709258369/attachments/attMCt6MjEwQENAwn6PEUKwU/,-0.006761 34.595007 1492.9 8.5,-0.006761,34.595007,1492.9,324,8461cd3d-49da-4bef-9670-0703176dfb39,uuid:8461cd3d-49da-4bef-9670-0703176dfb39
NDERE 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259099/attachments/attwmqdeiDAk49eteaajBF9M/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259099/attachments/attoWZVAzKceZArPUYnzUkdr/,-0.007067 34.594827 1494.5 5.3470001220703125,-0.007067,34.594827,1494.5,325,2206f574-d9ba-4b88-80d3-9e7004382e65,uuid:2206f574-d9ba-4b88-80d3-9e7004382e65
NDERE 4,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259437/attachments/attAstaQR3bxZYBsgLVvWPnv/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259437/attachments/att3aVhCYZD7hTjbHmkUGm9C/,-0.00701 34.594741 1494.5 15.791000366210938,-0.00701,34.594741,1494.5,326,be3f5414-237f-451f-8b1e-237e487f9713,uuid:be3f5414-237f-451f-8b1e-237e487f9713
NDERE 5,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259912/attachments/attMuzuZhH5eKRzARrpesL7G/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709259912/attachments/atttqoXSFR6uibjnUQFHKkGR/,-0.006838 34.595575 1494.7 100,-0.006838,34.595575,1494.7,327,ac3d3892-e76e-46dc-9f2c-6a69f2add577,uuid:ac3d3892-e76e-46dc-9f2c-6a69f2add577
NDERE 6,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709260281/attachments/attSUvheKU9kn8kHwnyvv8xR/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709260281/attachments/attXQ45UNpLopeESRBkZWxyS/,-0.006838 34.595575 1494.7 100,-0.006838,34.595575,1494.7,328,fb4dcda8-72bd-4403-99bc-0228d9108b42,uuid:fb4dcda8-72bd-4403-99bc-0228d9108b42
Temporary structure,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709260801/attachments/attvktM2XwniKkfXtDdUmoP9/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709260801/attachments/attYisQgEcDhuG3MBrYU7wEf/,-0.006838 34.595575 1494.7 100,-0.006838,34.595575,1494.7,329,3a86c3ae-f731-408d-b0d5-9c939942e335,uuid:3a86c3ae-f731-408d-b0d5-9c939942e335
Garage 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709262841/attachments/attzYd2o6XsFixrShiCy7rcV/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709262841/attachments/attDGNmd3cb8XTssiA2URffi/,-0.00742 34.595465 1508.8 5.199999809265137,-0.00742,34.595465,1508.8,230,76f06c8d-6c5f-4a3d-9b6f-c5b2d5980f94,uuid:76f06c8d-6c5f-4a3d-9b6f-c5b2d5980f94
Garage 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263197/attachments/attdrH759PYVAnkqJvTJovsV/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263197/attachments/attm93qUqb8WoHgci86ELNER/,-0.007458 34.595238 1508.7 5.5,-0.007458,34.595238,1508.7,330,097a949e-3e46-49b6-9646-af50584a0419,uuid:097a949e-3e46-49b6-9646-af50584a0419
Department of transport store,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263486/attachments/attCpeCE7KeG9yWdPuj8YyPX/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263486/attachments/attuCK845RHHXeehqR6ookYw/,-0.007493 34.595245 1508.7 6,-0.007493,34.595245,1508.7,331,f3b8469c-4323-4985-81a5-3c8e3e67737d,uuid:f3b8469c-4323-4985-81a5-3c8e3e67737d
Department of transport store 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263886/attachments/attWMXUZkquv4siJ2bo7T8jT/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709263886/attachments/attfzRyKGwyMwYAhCXerR9tp/,-0.007453 34.595247 1508.7 5.900000095367432,-0.007453,34.595247,1508.7,332,653ceacf-4005-4eaa-a859-f9a546421a6c,uuid:653ceacf-4005-4eaa-a859-f9a546421a6c
Department of transport  bus park,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709264381/attachments/attpY296CgHeTfMSKTZ5ZQSL/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709264381/attachments/atthgFEcn2WzKkMrTTdGPawh/,-0.007538 34.595143 1508.8 14.444999694824219,-0.007538,34.595143,1508.8,333,b20c5e80-e441-4345-aa8f-40a407238eb0,uuid:b20c5e80-e441-4345-aa8f-40a407238eb0
Department of transport bus park 2,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709264711/attachments/attV3v3KV8aWYdZFnY3Hoq3e/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709264711/attachments/attMTESgguZhQnByXq23rqea/,-0.00752 34.595125 1508.8 14.215999603271484,-0.00752,34.595125,1508.8,334,76cefb94-6910-463d-8917-45bf5ce4097e,uuid:76cefb94-6910-463d-8917-45bf5ce4097e
Department of transport bus park 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709265082/attachments/attCHap6NDkAHZie7e3YxFhL/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709265082/attachments/attJLboBE9K4YjJcrs3HAxum/,-0.00765 34.594812 1508.9 5.699999809265137,-0.00765,34.594812,1508.9,335,777026c9-26ce-422e-8b5c-f9d00809328b,uuid:777026c9-26ce-422e-8b5c-f9d00809328b
Department of transport car park,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709265933/attachments/atts7KR5PZQmi6P746XdxSR4/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709265933/attachments/attujRxDZpkxw7CHRwpGArnu/,-0.007495 34.594994 1509 17.299999237060547,-0.007495,34.594994,1509,336,c719e30d-19c9-45ab-9865-1842a4edbf08,uuid:c719e30d-19c9-45ab-9865-1842a4edbf08
Department of transport car park 2,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709266189/attachments/attMZFzNz9RZrYCo8tANwE3C/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709266189/attachments/attqdBCaUtTuqvxmXPvEhPeK/,-0.007483 34.595159 1509 9.130999565124512,-0.007483,34.595159,1509,337,0d25ccfe-3dca-457c-a1dd-f571fce66ef7,uuid:0d25ccfe-3dca-457c-a1dd-f571fce66ef7
POWER HOUSE,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709266990/attachments/attNtucWjWgUsrzPD8LsEsic/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709266990/attachments/attmwyFYn7fuH9kWkp7VBhc5/,-0.007136 34.595536 1512.1000000000001 13.800000190734863,-0.007136,34.595536,1512.1,338,a2ccd3c0-4eeb-4baa-be33-939179f08cb6,uuid:a2ccd3c0-4eeb-4baa-be33-939179f08cb6
Temporary building,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709267580/attachments/attE2RKhhVXVzgt9AhJ5v8ME/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709267580/attachments/atto8oBHgu8ork5xsBiR3VDf/,-0.006139 34.595685 1512 5.872000217437744,-0.006139,34.595685,1512,3393,4ea88294-b813-4d15-928d-4974f6b611b2,uuid:4ea88294-b813-4d15-928d-4974f6b611b2
Washrooms,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709267916/attachments/attbNdAFM2FsPVwDEojFrvQL/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709267916/attachments/attWnDeCMuQwv5WZRe2BCHhK/,-0.005871 34.595816 1511.8999999999999 5.900000095367432,-0.005871,34.595816,1511.9,340,8ff41ed0-199b-4d21-b0fa-79d6bc7ed6e9,uuid:8ff41ed0-199b-4d21-b0fa-79d6bc7ed6e9
Temporary Structure,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709268278/attachments/attgf8AYpk3orENvPQzR74mo/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709268278/attachments/att5XMaByzoYE2NqEovAmydY/,-0.005919 34.59577 1511.8999999999999 7.599999904632568,-0.005919,34.59577,1511.9,341,9908b99b-7c5a-474a-aa9c-28166d87a67d,uuid:9908b99b-7c5a-474a-aa9c-28166d87a67d
Supply chain management,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709269154/attachments/attTmeNi6vKxHzgSLeYRcV5N/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709269154/attachments/attY78AzRSWoATmTjrhfFvtz/,-0.006582 34.595859 1512 8.300000190734863,-0.006582,34.595859,1512,342,65d9b282-c224-4375-a1bf-7bae5c5a4980,uuid:65d9b282-c224-4375-a1bf-7bae5c5a4980
Mara 1,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709270551/attachments/attgJt9uZzbY8q4n7qqrP3Xj/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709270551/attachments/att5BQfodFatMpnC3jg4TW4X/,-0.005968 34.596225 1511.8999999999999 93.51100158691406,-0.005968,34.596225,1511.9,343,604e9120-fc01-40c1-a7fb-3ff50b908467,uuid:604e9120-fc01-40c1-a7fb-3ff50b908467
Cafeteria,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709271256/attachments/attTrYWFo3TLqNxHemw8MbGQ/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709271256/attachments/attjvxeW2Va4NS83Y7bQV3mp/,-0.005935 34.596329 1511.8999999999999 10.199999809265137,-0.005935,34.596329,1511.9,344,3029e94a-ad7f-4f9d-a66d-64cc9ab6de17,uuid:3029e94a-ad7f-4f9d-a66d-64cc9ab6de17
Store keeper office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709271877/attachments/attLq7hWCDCSL28mEWzF6j8q/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709271877/attachments/attw9fr99Dpt7XnFXjiU8CUs/,-0.005842 34.596252 1505.1 14.388999938964844,-0.005842,34.596252,1505.1,345,ac1902ad-31b2-45d0-9419-69146109a033,uuid:ac1902ad-31b2-45d0-9419-69146109a033
Kilimanjaro hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709273297/attachments/attKcHhnAEvkf5EVANfrCvKW/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709273297/attachments/atteWyY2XNJWMPz4y7cse2t6/,-0.005563 34.596643 1504.8 32.28200149536133,-0.005563,34.596643,1504.8,346,dbe1dc0d-a0d6-46fc-8d0c-882a7e325bb6,uuid:dbe1dc0d-a0d6-46fc-8d0c-882a7e325bb6
Washrooms,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709273552/attachments/attfVZWKycmQucnQiACnzGSN/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709273552/attachments/att4CowZoCkwJFt6YDNyfpZY/,-0.005432 34.596599 1504.6 100,-0.005432,34.596599,1504.6,347,6426b68b-bfca-44fe-86e8-80b46486573d,uuid:6426b68b-bfca-44fe-86e8-80b46486573d
Water pump and tanks,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709274289/attachments/atty67DVXZ9hR72WHHAgUVGd/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709274289/attachments/attahGVbQSZ5MiMgx7Uteh98/,-0.005313 34.59674 1504.8 4.599999904632568,-0.005313,34.59674,1504.8,348,068b6c86-4bcf-4692-beea-8ebd1bcc8d91,uuid:068b6c86-4bcf-4692-beea-8ebd1bcc8d91
Cooperative bank ATM,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709274873/attachments/attqmJukPxFeiYkq2BijawyZ/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709274873/attachments/attV3seYDAPL2qR4qYnDDcjC/,-0.005286 34.596779 1504.8999999999999 5.699999809265137,-0.005286,34.596779,1504.9,349,ba2d9c6e-1d2d-4814-9a5c-879703fdec5a,uuid:ba2d9c6e-1d2d-4814-9a5c-879703fdec5a
Temporary building,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709275897/attachments/attYBUHd9U66U2EhSyrL3B5u/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709275897/attachments/atttjh6LDy5ji3Sj9YMawPZc/,-0.00561 34.597313 1504.1999999999998 11.572999954223633,-0.00561,34.597313,1504.2,350,7b1fd44e-901d-400a-be16-03cdc139023b,uuid:7b1fd44e-901d-400a-be16-03cdc139023b
Mara 4,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709276697/attachments/attbCnWThGJGXaizHZnoji3A/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709276697/attachments/att9tNhUkYowhW6HgpaqTmDw/,-0.005588 34.597275 1504.1999999999998 8.399999618530273,-0.005588,34.597275,1504.2,351,2e230502-b7fe-4f54-803b-d94cf53cf111,uuid:2e230502-b7fe-4f54-803b-d94cf53cf111
Mara 3,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709276971/attachments/attDuotsQUmzYPPijzC9eibW/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709276971/attachments/attxe7m5bPM8mp2Vp96DZfKk/,-0.005859 34.596822 1505 5.599999904632568,-0.005859,34.596822,1505,352,8d09c3b2-810e-461a-b917-933cca281f97,uuid:8d09c3b2-810e-461a-b917-933cca281f97
Mara 2,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709277384/attachments/attmzb83mSDvUboV5RS9T8dM/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709277384/attachments/att75NA7cwnWriAYXo4pMNfb/,-0.00677 34.595769 1504.8999999999999 100,-0.00677,34.595769,1504.9,353,8ee077f7-dfa0-4bdf-a104-22323d2c1644,uuid:8ee077f7-dfa0-4bdf-a104-22323d2c1644
College Hall,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709277922/attachments/att5WzH6E6RiDmBSi46zkjGH/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709277922/attachments/atts67uKhwT6uA7Rt35YQNKG/,-0.006013 34.596656 1505 13.647000312805176,-0.006013,34.596656,1505,354,f5a6770e-5a97-41f8-9730-df471fa0b4f2,uuid:f5a6770e-5a97-41f8-9730-df471fa0b4f2
System admin/Accounts hall/registry,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709280114/attachments/att2rCeSdGK2rUtG2YwGBGfx/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709280114/attachments/attHtScewuTdALnNPGBLbdg8/,-0.006838 34.595575 1505 100,-0.006838,34.595575,1505,355,18c2be83-869c-4ba2-ba7a-3ad3caec9700,uuid:18c2be83-869c-4ba2-ba7a-3ad3caec9700
Car park,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709280580/attachments/attgHZRPjA7Ft86TtpSrGKwr/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709280580/attachments/attxXXPbMZxY3XqGMkMaqUCG/,-0.006438 34.596304 1505.5 5.5,-0.006438,34.596304,1505.5,356,2c9c3368-b720-45f8-a02e-725ac9430035,uuid:2c9c3368-b720-45f8-a02e-725ac9430035
Car park,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709281124/attachments/atttDprf6TgVpBzJkRwqRRHi/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709281124/attachments/attd42V4jycQLsC597ebMbRY/,-0.006716 34.596415 1506 4.206999778747559,-0.006716,34.596415,1506,357,b0454cf6-4e53-4435-8906-153b0d83df7b,uuid:b0454cf6-4e53-4435-8906-153b0d83df7b
Main Administration block,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709281869/attachments/atttjUeiqxMRb7jxTHn3KnTj/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709281869/attachments/atto5B48ZTfg7KuWTc9gCSfk/,-0.006694 34.596458 1506.1 4.449999809265137,-0.006694,34.596458,1506.1,358,3ef34983-3243-47ca-be39-d5f0664b349e,uuid:3ef34983-3243-47ca-be39-d5f0664b349e
Finance office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709282690/attachments/att7ia92UpTD2rbhUKQXjkR5/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709282690/attachments/attUeqkwmWhW4ZBT7SGRAKpa/,-0.006679 34.596758 1506.1999999999998 17.16699981689453,-0.006679,34.596758,1506.2,359,045b619c-caf3-47b3-b2ce-88a66f5d9096,uuid:045b619c-caf3-47b3-b2ce-88a66f5d9096
Car park,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709283232/attachments/attg9tX7ssrUt6VmaoNePHXr/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709283232/attachments/attUwA9VH2W28B87dBrnFyRf/,-0.00665 34.597208 1509.1 9.399999618530273,-0.00665,34.597208,1509.1,360,e7902970-f0da-447b-9298-d67a738c0548,uuid:e7902970-f0da-447b-9298-d67a738c0548
Security office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709283998/attachments/attEMzPQ6muxtiSrJFkvQxot/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709283998/attachments/attfX6zWqTPSZ4De96NYVtcF/,-0.006322 34.59806 1509.1 37.766998291015625,-0.006322,34.59806,1509.1,361,af953f82-191d-4a70-a94c-8dce8fd38d4f,uuid:af953f82-191d-4a70-a94c-8dce8fd38d4f
Washrooms,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709284710/attachments/attfJmk3Ax8dDBKtohbjciUd/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709284710/attachments/attkz6vyzVPp2sm8voo8o8xA/,-0.007057 34.59769 1509.1 29.53499984741211,-0.007057,34.59769,1509.1,362,6e3d86dc-1eaa-4c0c-8659-e4e2af75720c,uuid:6e3d86dc-1eaa-4c0c-8659-e4e2af75720c
Tsavo 9,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336677/attachments/attEFBh5CqbcVWFCQRvwD2oi/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336677/attachments/attoxHHFWKu6tZdTDgVNWAiz/,-0.005121 34.609647 1534.5 19.503999710083008,-0.005121,34.609647,1534.5,141,829cc316-6bf9-4345-9c66-c173fc1cddcc,uuid:829cc316-6bf9-4345-9c66-c173fc1cddcc
Toilet,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336733/attachments/attsQA9mJUZYUQBx5dQJNcDd/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336733/attachments/att8FCDeLizfGHPm2TkvGf6U/,-0.00507 34.609809 1535.5 20.906999588012695,-0.00507,34.609809,1535.5,142,11e539a0-c046-499d-a03d-4fe14387e0af,uuid:11e539a0-c046-499d-a03d-4fe14387e0af
Tsavo 7,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336780/attachments/attndgHdwPseg9DNbGacEEuN/,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/709336780/attachments/attzN2ScgiDcu857MDqrqH6X/,-0.005016 34.609917 1536.4000244140625 19.143999099731445,-0.005016,34.609917,1536.400024,143,2716af03-4b73-4d05-aa6f-f950bcd1cb9b,uuid:2716af03-4b73-4d05-aa6f-f950bcd1cb9b
